ChEMBL_ID,Name,SMILES,MW,Source,Tanimoto_MaxSim,Best_Match_Ref,P_EGFR_active,QED,Repurposing_Score
CHEMBL430,GEMIFLOXACIN,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,389.39,ChEMBL,0.1014,Afatinib,0.2468,0.7304,0.2854
CHEMBL139,DICLOFENAC,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,296.15,ChEMBL,0.114,Afatinib,0.1581,0.8807,0.285
CHEMBL8,CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,331.35,ChEMBL,0.0827,Afatinib,0.1831,0.8932,0.285
CHEMBL498,CHLORPROPAMIDE,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,276.75,ChEMBL,0.1273,Afatinib,0.1447,0.8795,0.2847
CHEMBL685,MEBENDAZOLE,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,295.3,ChEMBL,0.114,Erlotinib,0.2331,0.7275,0.2843
CHEMBL23,DILTIAZEM,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,414.53,ChEMBL,0.1316,Osimertinib,0.2401,0.6758,0.2838
CHEMBL37744,ZIMELDINE,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1,317.23,ChEMBL,0.1221,Osimertinib,0.1613,0.8517,0.2837
CHEMBL282724,SITAXENTAN,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2,454.91,ChEMBL,0.1181,Afatinib,0.3097,0.5613,0.2834
CHEMBL562,GRISEOFULVIN,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,352.77,ChEMBL,0.1016,Gefitinib,0.1906,0.8327,0.2834
CHEMBL407,FLUMAZENIL,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,303.29,ChEMBL,0.1149,Osimertinib,0.196,0.7932,0.283
CHEMBL741,LAMOTRIGINE,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,256.1,ChEMBL,0.0923,Lapatinib,0.2057,0.8138,0.282
CHEMBL656,OXYCODONE,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,315.37,ChEMBL,0.1095,Gefitinib,0.175,0.8393,0.2817
CHEMBL22242,REMOXIPRIDE,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,371.28,ChEMBL,0.1241,Osimertinib,0.1621,0.8356,0.2816
CHEMBL128,SUMATRIPTAN,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,295.41,ChEMBL,0.1071,Osimertinib,0.1741,0.8446,0.2814
CHEMBL42,CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,326.83,ChEMBL,0.1077,Gefitinib,0.1931,0.8001,0.2803
CHEMBL580,LORAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,321.16,ChEMBL,0.104,Afatinib,0.1728,0.8477,0.2803
CHEMBL85,RISPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,410.49,ChEMBL,0.1184,Gefitinib,0.2536,0.6577,0.2803
CHEMBL564,PROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccccc21,284.43,ChEMBL,0.1102,Osimertinib,0.1753,0.8289,0.28
CHEMBL13376,CLOMETACIN,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,357.79,ChEMBL,0.127,Afatinib,0.2196,0.7024,0.2791
